,objectId,task_name
0,1pSekv8tDk,cms
1,HMFAL7N1yK,vps
2,Ghw6x2o8Ji,
3,is0R8IKxpL,
4,0wvHuyIHIc,storage_services
5,EpKYNatgiA,erp
6,Y75plfloDh,software_development
7,3qMFRyth3m,devops_tool
8,mdXJA7COmP,security
9,kI9Ay99zrL,automation
10,9midjqAkRy,compute_server
11,V3WOoqOqQF,software_ide
12,WXgyRUYM7N,networking
13,MODiJZJg1I,storage
14,agAEiiCNGl,maintenance
15,GCbpqz9FmL,project_management
16,Vz6c5lQyN7,management
17,Tiw3Mrszyx,collaboration
18,rGIvTPetST,crm
19,9qHtICqcoJ,survey
20,rWBRyyHqiz,accounting_finance
21,6BvTJItTZt,website_tracking
22,jTlbZD7UHn,student_information_system
23,98VGEW2nSt,help_desk
24,btRKBrPZoC,storage_and_backup
25,vS0GMaDZWy,security
26,3Rjy8GHGME,computing_power
27,iTISAL729f,professional_service
28,o0EFrwM7dr,support_sla_level
29,8DHLEvkVgD,hms
