,user,name,cloudProvider,assistance,url,auto_renew,serviceSubscriptedMode,service,servicePrice,serviceSubscriptedStatus,createdAt,objectId,className,dns,expired_date,number_of_year,services,jobDescription,operatingSystem,securityVasServicePrice,storageVasServicePrice,storage_vas_size,cpuVasServicePrice,cpu_vas_size,ramVasServicePrice,ram_vas_size,supportLevelVasServicePrice,professionalServiceVasServicePrice,compagnyBranding,otherUserAccount
0,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",test1,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,test1.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': '7m30TaadKw'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7IQOMYgNjp'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-06-14T16:45:08.861Z,CKaeuDD4Pz,ServiceSubscripted,,,,,,,,,,,,,,,,,
1,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",gabin,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,gabin.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': '7m30TaadKw'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '9ZSLOxD6Qe'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-06-14T16:47:09.686Z,BF71jBseqP,ServiceSubscripted,,,,,,,,,,,,,,,,,
2,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",wp1,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,wp1.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'AuoUzp7zT5'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '9ZSLOxD6Qe'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-06-14T16:58:07.494Z,p28B1oCABN,ServiceSubscripted,,,,,,,,,,,,,,,,,
3,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",wp10,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,wp10.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'AuoUzp7zT5'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7IQOMYgNjp'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-06-14T17:01:02.038Z,hngNyfZy40,ServiceSubscripted,,,,,,,,,,,,,,,,,
4,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",ps10,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,ps10.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'ftB5W0yalq'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '9ZSLOxD6Qe'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-06-14T18:42:27.391Z,MNLGJSLQU3,ServiceSubscripted,,,,,,,,,,,,,,,,,
5,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",ps11,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,ps11.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'ftB5W0yalq'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '9ZSLOxD6Qe'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-06-15T09:44:29.438Z,QDBDChbwJJ,ServiceSubscripted,,,,,,,,,,,,,,,,,
6,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",ps12,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,ps12.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'ftB5W0yalq'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7IQOMYgNjp'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-06-15T09:51:08.066Z,iio8NCO5RU,ServiceSubscripted,,,,,,,,,,,,,,,,,
7,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",ps13,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,ps13.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'ftB5W0yalq'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7IQOMYgNjp'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-06-15T10:03:46.935Z,bfJtG53NQC,ServiceSubscripted,,,,,,,,,,,,,,,,,
8,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",ps14,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",False,ps14.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'U1KVT1nDYt'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'ftB5W0yalq'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7IQOMYgNjp'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'tW5G9aXwir'}",2018-06-15T10:39:08.917Z,FXhD4WRJZi,ServiceSubscripted,,,,,,,,,,,,,,,,,
9,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'o1gq9H4BHk'}",od1,"{'__type': 'Pointer', 'className': 'CloudProvider', 'objectId': 'zr0cc3DBxd'}",True,od1.acesy.nl,True,"{'__type': 'Pointer', 'className': 'ServiceSubscriptedMode', 'objectId': 'WhqWS3cgBD'}","{'__type': 'Pointer', 'className': 'Service', 'objectId': 'GTtXZCegOZ'}","{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}","{'__type': 'Pointer', 'className': 'ServiceSubscriptedStatus', 'objectId': 'bKnaCZ5EwH'}",2018-06-15T10:49:20.661Z,CV2lRiK5LK,ServiceSubscripted,,,,,,,,,,,,,,,,,
