,serviceCategories,versions,servicePrices,name,editor,short_description,description,number_if_subscription,serviceClass,main_serviceCategory,rating,task_name,keywordMainCategory,keywordName,keywordServiceCategories,eneable,deployment_type,eneable_trial,trial_period,configs,main_version,haveAndroidApp,haveIOSApp,benefits,gain_creators,pain_relievers,objectId,eneable_demo,rank,url_demo
0,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'EpKYNatgiA'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}]","['11.0', '10.0']","[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'S7143GMweM'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '4Q1ZU3K9JG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '9ZSLOxD6Qe'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7IQOMYgNjp'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Goh1jQ3AIG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kiCubqkRdZ'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'B4NhELGUWs'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SA0Ae3Z8mt'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SMdv6WUGrX'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'iUkjzyA2FE'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'ygPE8tm2ZQ'}]",Odoo,Odoo SA,"An all-in-one ERP software for all business needs including CRM, website, accounting etc.","Odoo provides a full stack of tools for business owners to seamlessly manage all segments of operations. The platform encompasses ERP, CRM, accounting, project management, marketing, inventory, manufacturing and purchasing software right out of the box. Odoo is highly modular and multifunctional but utilises easy-to-manage interfaces that are available for all PC and smartphone operating systems.
",2.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'EpKYNatgiA'}",4.0,odoo,"['enterprise', 'resource', 'planning']",['odoo'],"['enterprise', 'resource', 'planning', 'content', 'management', 'system']",True,Fully Automated,True,14.0,"[{'name': 'Admin user', 'value': 'admin'}, {'name': 'Admin password', 'value': 'admin'}]",10.0,True,True,"['It’s free - therefore license and subscription fees are eliminated.', ""ERP can be customised according to the business' specific requirements."", 'The software seamlessly integrates all operations to improve overall efficiency.', 'Increases control of business data and access control enforcement.', 'The platform is extremely user-friendly, therefore it makes it very easy for beginners to work with the software.']","['Increases collaboration across functions.', 'Protects the company data against unauthorised access.', 'Accessing and processing data is easier, resulting in faster and better decisions being made.', 'Handle business tasks easily from any device anytime, anywhere.']","['Reduces IT costs and converts staff expenses from fixed to variable costs.', 'Reduces the time taken to consolidate data from various business sources.', 'Reduces the risk of data getting stolen.']",GTtXZCegOZ,,,
1,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '0wvHuyIHIc'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'EpKYNatgiA'}]","['10.0.9', '12.0', '23.2.4', '34.0.0']","[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'udbz7SmUsG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'cBoebS59tL'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'RalFGbWgKA'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'eLfTyU6YoH'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'FqgJXfPgJM'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'TWLBcv7ctf'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'lZofvMsPdC'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'sOFOJ7KmAH'}]",ownCloud,ownCloud,An enterprise file sharing solution for online collaboration and storage.,"ownCloud is a self-hosted document sharing, syncing and storage platform that ensures protection and security of your data. Being free and one of the top 50 file-sharing software means that the ownCloud software is compatible with all PC and smartphone operating systems. Public-protected links, quota management, ownBrander and the ability to add external storage to your cloud are some of the features that make this tool very reputable.
",15.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '0wvHuyIHIc'}",4.0,owncloud,"['storage', 'services']",['owncloud'],"['storage', 'services', 'enterprise', 'resource', 'planning']",True,Fully Automated,True,14.0,"[{'name': 'MySQL Database host', 'key': 'k8sAppName'}, {'name': 'MySQL Database Name', 'value': 'owncloud'}, {'name': 'MySQL Database User', 'value': 'owncloud'}, {'name': 'MySQL Database Password', 'key': 'pwd'}]",,True,True,"['It’s free, therefore, license and subscription fees are eliminated.', 'ownCloud is hosted exclusively on your own private server/cloud, therefore, it is a safe home for all your data.', 'With ownCloud, all your data is wherever you are and is accessible on all devices at any time.', 'Its collaboration features make it very easy to share and sync data, helping  you improve your overall business performance.']","['Increases collaboration across functions.', 'Protects the company data against unauthorised access.', 'Creating, accessing, sharing and processing data is easier, resulting in faster and better decisions being made.', 'You can handle business tasks easily from any device anytime, anywhere.']","['Reduces the hassle of storing data in multiple places', 'Reduces the time taken to consolidate data from various business sources', 'Reduces the risk of your data getting stolen']",7m30TaadKw,,,
2,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'Y75plfloDh'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '3qMFRyth3m'}]",['11.2.3'],"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'S7143GMweM'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '4Q1ZU3K9JG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '9ZSLOxD6Qe'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7IQOMYgNjp'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Goh1jQ3AIG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kiCubqkRdZ'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'B4NhELGUWs'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SA0Ae3Z8mt'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SMdv6WUGrX'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'iUkjzyA2FE'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'ygPE8tm2ZQ'}]",GitLab,GitLab Inc.,The best integrated platform for modern-day software development.,"GitLab is a self-hosted code versioning system that enables teams of developers to use Git for source control management and project planning. It offers a fine-grained authorisation control for users and developers. All roles and permissions are easily customisable. By installing GitLab, for no cost at all, in a rather short time, you can master Git, CI/CD pipelines and software development.
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'Y75plfloDh'}",3.5,gitlab,"['software', 'development']",['gitlab'],"['software', 'development', 'devops', 'tool']",True,Partly Automated,True,12.0,"[{'name': 'root username', 'value': 'root'}, {'name': 'root Password', 'key': 'pwd'}, {'name': 'Container registry path', 'value': '/registry'}]",,True,True,"['GitLab.com is free and doesn’t have limitations on the number of projects or collaborators.', 'GitLab comes with a powerful and well-integrated Continuous Integration (CI) and Continuous Deployment(CD)pipeline.', 'GitLab.com provides an unlimited amount of both public and private repositories.', 'GitLab installation process takes minutes.']","['GitLab provides much more useful functionality than competitors.', 'The software can be easily deployed.']","['Reduces IT costs and converts staff expenses from fixed to variable costs.', 'Reduces the time taken to consolidate data from various business sources.']",ddy6eGz0GS,,,
3,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}]",['4.9.8'],"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'WyRlkmAw6G'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SykQsRCcZr'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7XmSL7PCvS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Gyn4DtR4zW'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'ouCAcAFddE'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'JBHAIK5ehS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '6zWR9BSb9p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Dz5hgZZ3pf'}]",WordPress,WordPress Foundation,A free content management system that powers 35% of the websites on the internet.,"WordPress is an online publication tool with a CMS based on PHP and MySQL. It has a myriad of templates that fall under free, freemium, and premium categories depending on the plugins and advanced services required. Its CMS and plugin architecture makes it one of the most preferred platforms online.
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}",4.0,wordpress,"['content', 'management', 'system']",['wordpress'],"['content', 'management', 'system']",True,Partly Automated,True,14.0,"[{'name': 'MySQL Database host', 'key': 'k8sAppName'}, {'name': 'MySQL Database Name', 'value': 'wordpress'}, {'name': 'MySQL Database User', 'value': 'wordpress'}, {'name': 'MySQL Database Password', 'key': 'pwd'}]",,True,True,"['Almost everything on WordPress is offered free of charge.', 'Responsive web designs to render well on all screen sizes.', 'Allows seamless integration between your site and your social media networks.', 'Can be customised and managed by anyone with or without a technical knowledge/understanding of developing a website.', 'Its clean and simple code makes it easy for search engines to read and index your site’s content.']","['Interoperability: Allows your site to work seamlessly with your social networks to post content instantly.', 'In-depth stats: Helps you track and understand your web traffic.', 'Free SEO tools: Will help you optimise your website for improved search engine indexing.', 'Native desktop and mobile app: Able to manage your site from anywhere at any time.']","['Save time: Create, publish and monitor all your digital content on a single platform.', 'Complete control of your site: Ability to make instant changes or upgrades to your website without having to wait for technical support.', 'No HTML editing or FTP software required: WordPress is a self-contained system and does not require any HTML editing software.']",AuoUzp7zT5,True,,
4,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}]",['1.7.4.2'],"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'WyRlkmAw6G'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SykQsRCcZr'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7XmSL7PCvS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Gyn4DtR4zW'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'ouCAcAFddE'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'JBHAIK5ehS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '6zWR9BSb9p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Dz5hgZZ3pf'}]",PrestaShop,"Alexandre Eruimy, CEO","A freemium, ready-made solution to create and manage ecommerce sites.","PrestaShop is a freemium e-commerce solution that allows you to create efficient and innovative web stores. It is a software that is published under the Open Software License (OSL).
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}",4.0,prestashop,"['content', 'management', 'system']",['prestashop'],"['content', 'management', 'system']",True,Fully Automated,True,14.0,"[{'name': 'Admin folder', 'value': '/administration'}, {'name': 'Admin Email', 'key': 'email'}, {'name': 'Admin Password', 'key': 'pwd'}]",,False,False,"['PrestaShop is 100% free, thanks to partnerships it has formed with industry leaders such as Google and PayPal.', 'Quick and seamless migration of data from any store to PrestaShop.', 'Technical support plans to get advice and hands-on technical help.', 'A ready-to-install GDPR module to help manage personal data collected from your store and other GDPR-compatible modules.', 'A large collection of stores, themes, and add-ons to choose from.']","['Increase productivity: seamless navigation through web stores creates a better customer experience.', 'Gain insight: Make informed decisions using insights on product movement and web store traffic.', 'Easy integration: Quick and seamless migration of data from a previous web store to PrestaShop.', 'Control across multiple devices: Manage the entire online store from any device, anytime, anywhere.']","['A single platform to run your online business operations: Handle all marketing and selling functions from product display to email marketing.', 'License-free software: Make use of the freemium features, and eliminate licence fees.', 'Decreased design cycle: 5000+ additional modules and professional themes to choose from reduces the time taken in designing a web store from scratch.']",ftB5W0yalq,,,
5,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}]",['8.6.2'],"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'WyRlkmAw6G'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SykQsRCcZr'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7XmSL7PCvS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Gyn4DtR4zW'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'ouCAcAFddE'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'JBHAIK5ehS'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '6zWR9BSb9p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Dz5hgZZ3pf'}]",Drupal,Dries Buytaert,A user friendly CMS framework for building digital experiences. ,"Drupal is a popular CMS software, based on hard data that establishes the reputation of this content management tool. Its modules expend the system’s functionality by being updated with community created add-ons. It is a powerful and scalable cloud platform.
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '1pSekv8tDk'}",3.0,drupal,"['content', 'management', 'system']",['drupal'],"['content', 'management', 'system']",True,Partly Automated,True,14.0,"[{'name': 'MySQL Database host', 'key': 'k8sAppName'}, {'name': 'MySQL Database Name', 'value': 'drupal'}, {'name': 'MySQL Database User', 'value': 'drupal'}, {'name': 'MySQL Database Password', 'key': 'pwd'}]",,False,False,"['The software is completely free to download, use, and modify according to your needs.', 'Drupal’s WYSIWYG editing tool is similar to MS Word making it familiar to use on your own.', 'Its high flexibility allows you to customise your site according to any requirement that best fits you.', 'It also offers unmatched security to any other content management platform with the least vulnerability to cyber threats.', 'It is also greatly scalable allowing you to add as many pages you want as your website grows.']","['Multi-language support: Allows you to deliver your website across many different languages in the world.', 'Responsive web designs: ensures to cater to all the different screen sizes your audience might use.', 'Interoperability: Allows your site to work seamlessly with your social networks, email provider, and even analytics provider.']","['Multiple user access simultaneously: Drupal is a browser-based platform enabling it to be accessed by any number of users simultaneously.', 'Browser-based platform: Allows you to access and manage your site from any device, at anytime.', 'Easy to use front-end: Does not require you to have a technical background.']",1wjtGuM9P1,,,
6,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'Y75plfloDh'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '3qMFRyth3m'}]",['2.141'],"[{'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'S7143GMweM'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '4Q1ZU3K9JG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kqjeGDDnok'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'niCzqvNs2p'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '2VuPFFFfEW'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '9ZSLOxD6Qe'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': '7IQOMYgNjp'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'Goh1jQ3AIG'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'kiCubqkRdZ'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'B4NhELGUWs'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SA0Ae3Z8mt'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'SMdv6WUGrX'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'iUkjzyA2FE'}, {'__type': 'Pointer', 'className': 'ServicePrice', 'objectId': 'ygPE8tm2ZQ'}]",Jenkins,MIT,"An automation server which enables developers  to reliably build, test, and deploy  software.","Jenkins is a self-contained Java-based automation tool with plugins built for continuous integration purposes. It is ready to run out-of-the-box, with packages for Windows, Mac OS X and other Unix-like operating systems.
",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'Qh2MBWKdhx'}","{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '3qMFRyth3m'}",3.0,jenkins,"['devops', 'tool']",['jenkins'],"['software', 'development', 'devops', 'tool']",True,Partly Automated,True,14.0,,,True,True,"['High portability into many major platforms, thanks to its origin from Java.', 'It requires little maintenance.', 'Has built-in GUI tools.', 'Jenkins allows developers to build snapshots and release artefacts of an application.', 'Helps with the software development lifecycle workflow through its continuous integration pipeline support.']","['Shorten the software development life cycle: Its continuous integration pipeline support increases the pace for developing software.', 'Improves software quality: Immediate detection and resolving of issues.', 'Can be easily modified and extended: Allows to custom modify Jenkins plugins according to your needs.']","['Built from Java: Makes it easily compatible with many major platforms.', 'Saves time on large-scale error-ridden integrations: Manages integration and testing through continuous integration.', 'Faster builds, tests and deployments across multiple platforms.']",vfroVvgRms,,,
7,,,,Domain Name,,"The Domain Name System (DNS) is a hierarchical decentralized naming system for computers, services, or other resources connected to the Internet or a private network.","The Domain Name System (DNS) is a hierarchical decentralized naming system for computers, services, or other resources connected to the Internet or a private network.",10.0,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': 'aakYXeKWBS'}",,,dns,,,,True,,,,,,,,,,,07s0zeZYjN,,,
8,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'agAEiiCNGl'}]",,,4Hx24x7,,This is 4Hx24x7Service,"A service-level agreement (SLA) is a commitment between a service provider and a client. Particular aspects of the service – quality, availability, responsibilities – are agreed between the service provider and the service user.[1] The most common component of SLA is that the services should be provided to the customer as agreed upon in the contract. As an example, Internet service providers and telcos will commonly include service level agreements within the terms of their contracts with customers to define the level(s) of service being sold in plain language terms.",,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '6rdsqAqMAh'}",,,4hx24x7,,,,True,Not Automated,,,,,,,,,,etez96nrAp,,2.0,
9,"[{'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'mdXJA7COmP'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'kI9Ay99zrL'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': '9midjqAkRy'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'V3WOoqOqQF'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'WXgyRUYM7N'}, {'__type': 'Pointer', 'className': 'ServiceCategory', 'objectId': 'MODiJZJg1I'}]",,,Design,,This is DesignService,"Once you understand the root causes of the challenges you see, you’ll move to Solution Design and Delivery. This step is all about creating processes, tools, coalitions, etc. to solve organizational issues. This is the bread and butter of what you do as a consultant, the vehicle by which you facilitate change.",,"{'__type': 'Pointer', 'className': 'ServiceClass', 'objectId': '6rdsqAqMAh'}",,,design,,,,True,Not Automated,,,,,,,,,,GDrO6oVVfF,,4.0,
