,name,createdAt,updatedAt,price,billingPackage,change,billingType,number_of_email,number_of_month,storage_string,storage,description,number_of_user,url_image,regular_price,description_fr,ACL,objectId,__type,className,operatingSystems,ram_string,bandwith_string,ram,bandwith,operatingSystemType,number_of_website,number_of_database,extra,number_of_contact,signup_form,image_storage,handling,warrantly,number_of_subdomain,number_domain,cpu_string,cpu,features,type,features_fr,number_ongoing_meeting,number_attendees_per_meeting,number_of_meetings,enable_schedule,max_meeting_duration,is_entry_price,crossed_price,sent_invitation_email,enable_branding
0,Basic Messaging,2018-07-06T11:10:45.214Z,2020-05-18T10:47:49.894Z,5.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'KebmybdPts'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",1.0,1,10GB,10,Self-employed and small businesses,20,img/basic-email.png,9.48 ,Auto-employé (freelancer) et Petite entreprise,{'*': {'read': True}},WjktZykAAK,Object,ServicePrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pro Messaging,2018-07-06T11:47:45.655Z,2020-05-18T10:53:17.586Z,9.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",10.0,1,50GB+,50,Startup and Medium Business,100,img/professional-email.png,18.48,"Start up et moyenne entreprise
",{'*': {'read': True}},sfyzd6MaZH,Object,ServicePrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Enterprise Messaging,2018-07-06T11:50:37.360Z,2020-05-18T11:10:41.247Z,29.85,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",50.0,1,unlimited,500,Large Business,unlimited,img/enterprise-email.png,49.48,Grand Business,{'*': {'read': True}},PSR5ArS7Z8,Object,ServicePrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,VPS Price ,2018-07-12T19:37:04.754Z,2019-12-13T17:41:58.581Z,29.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'KebmybdPts'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",0.0,1,,40,,,,,,{'*': {'read': True}},prBlW9GMpA,Object,ServicePrice,"[{'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'Hbk70QBnlJ'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'lmmabPZMql'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'IxJtPd84eD'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'hw9mrGNdYq'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'R63niZMvvY'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'yGTgCVbEyD'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'HSaUwHsBp0'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'RGqHEdScVQ'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': '7suhaWYRED'}]",1,unlimited,1,unlimited,"{'__type': 'Pointer', 'className': 'OperatingSystemType', 'objectId': 'FhRL0bonhy'}",,,,,,,,,,,,,,,,,,,,,,,,
4,VPS Price 1,2018-07-12T19:41:47.678Z,2019-12-11T08:04:13.517Z,39.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,60,,,,,,{'*': {'read': True}},CuYOUoKqX0,Object,ServicePrice,"[{'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'Hbk70QBnlJ'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'lmmabPZMql'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'IxJtPd84eD'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'hw9mrGNdYq'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'R63niZMvvY'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'yGTgCVbEyD'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'HSaUwHsBp0'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'RGqHEdScVQ'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': '7suhaWYRED'}]",2,unlimited,2,unlimited,"{'__type': 'Pointer', 'className': 'OperatingSystemType', 'objectId': 'FhRL0bonhy'}",,,,,,,,,,,,,,,,,,,,,,,,
5,VPS Price 2,2018-07-12T19:42:54.262Z,2019-10-21T13:32:46.221Z,49.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'gnRlR0IY6Q'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,90,,,,,,{'*': {'read': True}},0eSSww5jud,Object,ServicePrice,"[{'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'Hbk70QBnlJ'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'lmmabPZMql'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'IxJtPd84eD'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'hw9mrGNdYq'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'R63niZMvvY'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'yGTgCVbEyD'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'HSaUwHsBp0'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'RGqHEdScVQ'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': '7suhaWYRED'}]",3,unlimited,3,unlimited,"{'__type': 'Pointer', 'className': 'OperatingSystemType', 'objectId': 'FhRL0bonhy'}",,,,,,,,,,,,,,,,,,,,,,,,
6,VPS Price 3,2018-07-12T19:44:19.631Z,2019-10-21T13:33:02.732Z,69.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'w0u0CIhaaQ'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,120,,,,,,{'*': {'read': True}},yMmOf4BECB,Object,ServicePrice,"[{'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'Hbk70QBnlJ'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'lmmabPZMql'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'IxJtPd84eD'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'hw9mrGNdYq'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'R63niZMvvY'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'yGTgCVbEyD'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'HSaUwHsBp0'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'RGqHEdScVQ'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': '7suhaWYRED'}]",4,unlimited,4,unlimited,"{'__type': 'Pointer', 'className': 'OperatingSystemType', 'objectId': 'FhRL0bonhy'}",,,,,,,,,,,,,,,,,,,,,,,,
7,VPS Price 4,2018-07-12T19:45:40.961Z,2019-10-21T13:32:53.615Z,139.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'w0u0CIhaaQ'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,240,,,,,,{'*': {'read': True}},NC4zcAO1dF,Object,ServicePrice,"[{'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'Hbk70QBnlJ'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'lmmabPZMql'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'IxJtPd84eD'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'hw9mrGNdYq'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'R63niZMvvY'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'yGTgCVbEyD'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'HSaUwHsBp0'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'RGqHEdScVQ'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': '7suhaWYRED'}]",8,unlimited,8,unlimited,"{'__type': 'Pointer', 'className': 'OperatingSystemType', 'objectId': 'FhRL0bonhy'}",,,,,,,,,,,,,,,,,,,,,,,,
8,VPS Price 5,2018-07-12T19:46:56.721Z,2019-10-21T13:33:08.938Z,39.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'KebmybdPts'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,40,,,,,,{'*': {'read': True}},WKSzPp4S6g,Object,ServicePrice,"[{'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'vU2xL6vEQq'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'Rar4fPlAUM'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'wTd04FKuwW'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'PusBi18MCB'}]",2,unlimited,2,unlimited,"{'__type': 'Pointer', 'className': 'OperatingSystemType', 'objectId': 'AzfimD16BL'}",,,,,,,,,,,,,,,,,,,,,,,,
9,VPS Price 6,2018-07-12T19:48:14.258Z,2019-10-21T13:32:50.246Z,49.99,"{'__type': 'Pointer', 'className': 'BillingPackage', 'objectId': 'RCQcuAEcAY'}",EUR,"{'__type': 'Pointer', 'className': 'BillingType', 'objectId': 'UynyzGHXur'}",,1,,60,,,,,,{'*': {'read': True}},6HiEeL2Xtq,Object,ServicePrice,"[{'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'vU2xL6vEQq'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'Rar4fPlAUM'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'wTd04FKuwW'}, {'__type': 'Pointer', 'className': 'OperatingSystem', 'objectId': 'PusBi18MCB'}]",2,unlimited,2,unlimited,"{'__type': 'Pointer', 'className': 'OperatingSystemType', 'objectId': 'AzfimD16BL'}",,,,,,,,,,,,,,,,,,,,,,,,
